Date,Mine Name,City,State,Killed,Product,Accident Type,Mine Type,Mining Sector
1/25/1929,Kingston No. 5,Kingston,WV,14,Coal,Explosion,UG,Coal
2/27/1929,Stone Mountain Quarry,Decature,GA,7,Granite,Explosion of air receiver,Surface,Stone
3/20/1929,Kinloch,Parnassus,PA,46,Coal,Explosion,UG,Coal
5/26/1929,Connellsville,Yolande,AL,10,Coal,Explosion,UG,Coal
6/4/1929,Halcon,Wise,VA,5,Coal,Roof fall/bump,UG,Coal
9/3/1929,Calaveras,Copperapolis,CA,5,Copper,Cave-in,UG,Metal
9/26/1929,Covington,Tahona,OK,8,Coal,Explosion,UG,Coal
11/30/1929,Old Ben No. 8,West Frankfort,IL,7,Coal,Explosion,UG,Coal
12/16/1929,Old Town,McAlester,OK,61,Coal,Explosion,UG,Coal
1/12/1930,Peerless,Straven,AL,7,Coal,Explosion,UG,Coal
1/18/1930,No. 1,Lillybrook,WV,8,Coal,Explosion,UG,Coal
2/5/1930,Standard,Standardville,UT,23,Coal,Explosion,UG,Coal
3/7/1930,New Peerless,Lynn,UT,5,Coal,Explosion,UG,Coal
3/25/1930,Yukon,Arnettsville,WV,12,Coal,Explosion,UG,Coal
3/29/1930,Pioneer,Kettle Island,KY,16,Coal,Explosion,UG,Coal
4/11/1930,Carbonado,Carbonado,WA,17,Coal,Explosion,UG,Coal
5/16/1930,Terry and Butterskill Quarry,Union,WV,6,Rock,Explosives,Surface,Stone
6/6/1930,"Climax Mine, Fremont Pass",Lake County,CO,5,Molybdenum,Cave-in stope,UG,Metal
7/13/1930,Glenn,"Lost Chance, Placer County",CA,5,Gold,Fire,UG,Metal
8/7/1930,Gilberton,Gilberton,PA,8,Coal,Roof fall/bump,UG,Coal
10/26/1930,Wheatley No. 4,McAlester,OK,30,Coal,Explosion,UG,Coal
11/4/1930,No. 6,Millfield,OH,82,Coal,Explosion,UG,Coal
11/28/1930,Lutie No. 5,Lutie,OK,15,Coal,Explosion,UG,Coal
12/5/1930,Lamb,Madrid,NM,5,Coal,Explosion,UG,Coal
1/2/1931,Midvale No. 4,Midvale,OH,5,Coal,Explosion,UG,Coal
1/5/1931,No. 2,Glen Rogers,WV,8,Coal,Explosion,UG,Coal
1/27/1931,Little Betty,Dugger,IN,28,Coal,Explosion,UG,Coal
5/28/1931,Richards Colliery,Mount Carmel,PA,5,Coal,Explosion,UG,Coal
11/2/1931,No. 20,Holden,WV,5,Coal,Explosion,UG,Coal
12/27/1931,Overton No. 1,Irondale,AL,5,Coal,Explosion,UG,Coal
1/17/1932,Parrott,Parrott,VA,6,Coal,Explosion,UG,Coal
2/26/1932,Boissevain,Boissevain,VA,38,Coal,Explosion,UG,Coal
6/12/1932,Splashdam No. 6,Splashdam,VA,10,Coal,Explosion,UG,Coal
12/6/1932,Morgan-Jones,Madrid,NM,14,Coal,Explosion,UG,Coal
12/8/1932,Zero,Yancey,KY,23,Coal,Explosion,UG,Coal
12/23/1932,Moweaqua,Moweaqua,IL,54,Coal,Explosion,UG,Coal
2/7/1933,B & C Quarry,Fletcher,NC,7,Limestone,Fall and slide,Surface,Stone
9/10/1933,Oakmont,Barking,PA,7,Coal,Explosion,UG,Coal
3/11/1934,No. 10,Wheatcroft,KY,5,Coal,Fire,UG,Coal
8/5/1934,Derby No. 3,Big Stone Gap,VA,17,Coal,Explosion,UG,Coal
11/11/1934,Rohl Connolly Quarry,Avalon,CA,9,Granite,Explosives,UG,Stone
1/20/1935,Gilberton,Gilberton,PA,13,Coal,Explosion,UG,Coal
5/6/1935,South Wilkes Barre,Wilkes-Barre,PA,7,Coal,Haulage,UG,Coal
5/10/1935,No. 41,Barrackville,WV,6,Coal,Fire,UG,Coal
7/16/1935,No. 155,Van Lear,KY,9,Coal,Explosion,UG,Coal
